Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
1030,Mariage,756,4224,7,1880-01-21,n/a
1031,Mariage,754,4549,176,,33&34/035
1032,Mariage,753,5164,58,1705-02-19,100/192
1033,Mariage,750,5236,225,1756-01-28,92/152
1034,Mariage,756,5411,274,1815-01-25,n/a
1035,Mariage,756,5960,274,1842-11-23,n/a
1036,Mariage,756,5996,165,,28/151
1037,Mariage,752,6142,176,1741-02-07,2/021
1038,Mariage,756,6326,287,,188/265
1039,Mariage,756,6653,104,1702-11-08,n/a
1040,Mariage,756,6689,111,1772-01-13,10/050
1041,Mariage,756,6844,15,1693-11-09,4/141
1042,Mariage,756,7058,165,1740-02-23,212/242
1043,Mariage,756,7373,225,1760-08-05,111/152
1044,Mariage,756,7526,274,1887-09-26,n/a
1045,Mariage,756,7629,68,1756-08-04,10/018
1046,Mariage,751,7806,82,1900-06-24,5/046
1047,Mariage,756,8095,126,1767-06-16,n/a
1048,Mariage,756,8218,176,1835-05-05,n/a
1049,Mariage,749,3944,218,1877-10-23,71/109
1050,Mariage,757,5222,7,1798-11-07,n/a
1051,Mariage,757,5412,274,1809-06-28,n/a
1052,Mariage,757,6924,274,1823-10-08,n/a
1053,Mariage,757,7088,274,1854-10-09,n/a
1054,Mariage,758,5163,58,1716-10-07,71/095
1055,Mariage,759,7165,76,1684-01-19,25/060
1056,Mariage,760,8078,243,1807-04-08,32/225
1057,Mariage,762,5151,145,,129/259
1058,Mariage,761,7500,206,1809-10-17,259/269
1059,Mariage,763,7096,9,1661-10-07,n/a
1060,Mariage,764,7863,27,1714-02-12,92/241
1061,Contrat de mariage,764,8111,166,1673-01-01,n/a
1062,Mariage,765,4938,207,,9/059
1063,Mariage,766,6251,254,,60/115
1064,Mariage,767,4258,54,,197/230
1065,Mariage,768,6256,137,,37/044
1066,Mariage,769,4969,249,1908-02-24,2/006
1067,Mariage,770,4491,370,1690-01-21,n/a
