Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
1290,Mariage,906,5544,90,1847-10-25,62/206
1291,Mariage,907,8180,235,1865-02-10,145/186
1292,Mariage,908,7506,272,1723-02-01,20/031
1293,Mariage,909,6548,291,1675-02-12,n/a
1294,Mariage,910,7218,302,1875-10-13,72/140
1295,Mariage,917,3700,20,1807-11-25,272/439
1296,Mariage,916,3797,271,1671-01-26,n/a
1297,Mariage,913,4210,22,1849-02-05,58/155
1298,Mariage,914,5449,339,1781-10-09,n/a
1299,Mariage,915,6356,182,1709-07-15,249/452
1300,Contrat de mariage,917,6417,40,1758-06-13,349 et 350/553
1301,Mariage,911,6661,56,1822-08-13,145/249
1302,Mariage,912,6946,88,1792-01-24,n/a
1303,Mariage,917,7877,123,1644-07-03,105/113
1304,Mariage,917,8036,370,1665-02-04,n/a
1305,Mariage,918,6322,192,1806-07-22,174 et 175/208
1306,Mariage,919,8022,243,1909-09-28,51/076
1307,Mariage,921,5571,123,1694-10-08,129/416
1308,Contrat de mariage,920,5585,123,1694-09-26,654 à 656/757
1309,Mariage,922,5750,178,1782-11-04,120/145
1310,Mariage,929,4082,299,1686-06-26,116/159
1311,Mariage,927,4229,235,1832-07-10,194/211
1312,Mariage,928,4820,88,1660-02-03,n/a
1313,Mariage,926,6961,105,1835-11-13,169/172
1314,Mariage,925,8209,339,1764-10-22,n/a
1315,Mariage,923,6026,214,1860-05-29,n/a
1316,Mariage,924,6372,92,1809-11-13,27/126
1317,Contrat de mariage,942,3715,40,1749-01-23,199 et 200/528
1318,Publication de mariage,936,4118,230,1813-11-14,238/274
1319,Mariage,940,4228,182,1809-02-07,179/317
1320,Publication de mariage,940,4228,182,1809-01-08,209/317
1321,Mariage,942,4642,212,1752-11-21,113/277
1322,Mariage,938,4790,313,1791-11-07,190/204
1323,Mariage,942,5724,73,1696-05-18,71/133
1324,Contrat de mariage,941,5757,56,1738-06-03,n/a
1325,Mariage,935,5783,307,1779-11-09,254/349
1326,Contrat de mariage,942,6416,40,1759-02-11,421 et 422/553
1327,Mariage,942,6981,321,1685-11-05,19/094
1328,Mariage,942,7696,299,1675-01-29,12/159
1329,Mariage,937,7754,313,1727-05-06,133/139
1330,Mariage,942,8008,307,1777-07-08,232/349
1331,Mariage,939,8212,44,1683-11-16,n/a
1332,Mariage,930,4176,143,1857-11-17,35/155
1333,Mariage,931,8182,191,1859-11-22,103/173
1334,Mariage,932,5674,36,1817-02-05,115/283
1335,Mariage,934,4688,121,1754-02-06,132/284
1336,Mariage,933,5781,243,1834-05-30,213/225
1337,Mariage,943,8035,370,1665-02-04,n/a
1338,Mariage,944,3727,243,1867-06-17,198/241
1339,Mariage,944,4595,243,1872-11-05,238/241
1340,Mariage,950,4182,243,1864-06-21,176/241
1341,Mariage,947,4601,265,1747-02-06,45/114
1342,Mariage,950,5748,174,1871-05-02,7/092
1343,Mariage,948,6143,56,1817-12-24,123/249
1344,Mariage,949,6664,90,1830-02-07,141/170
1345,Mariage,946,7360,339,1808-10-18,72/207
1346,Mariage,945,3962,243,1903-01-19,3/076
1347,Mariage,951,5539,165,1747-01-25,42/213
1348,Mariage,952,5219,188,1717-05-24,n/a
1349,Contrat de mariage,953,4485,123,1693-11-22,347 et 348/757
1350,Mariage,964,3839,123,1731-01-30,56/076
1351,Mariage,964,4100,73,1696-06-25,72/133
1352,Mariage,960,4230,307,1773-02-20,194/349
1353,Mariage,959,4521,243,1865-05-30,182/241
1354,Mariage,964,5091,291,1674-02-03,n/a
1355,Mariage,958,5178,243,1834-06-13,214/225
1356,Mariage,957,5593,56,1817-11-17,121/249
1357,Mariage,964,5643,123,1750-04-18,129/215
1358,Mariage,963,6016,57,,11/016
1359,Mariage,964,7492,275,1720-06-04,36/164
1360,Contrat de mariage,962,7515,123,1703-04-01,79 et 80/678
1361,Mariage,964,7520,198,1740-10-11,72/142
1362,Contrat de mariage,964,7883,40,1752-01-31,120 et 121/491
1363,Mariage,961,8264,374,1769-01-30,131/161
1364,Mariage,954,5885,235,1824-07-03,148/211
1365,Mariage,955,8295,243,1896-05-18,171/178
1366,Mariage,956,6665,73,1876-07-24,18/080
1367,Mariage,965,5058,312,1822-05-15,34/181
1368,Mariage,966,6290,73,1758-01-25,126/171
1369,Mariage,967,7222,210,,n/a
1370,Mariage,967,7624,299,1683-08-03,86/159
1371,Mariage,968,6594,274,1905-10-18,n/a
1372,Mariage,970,7019,304,1690-12-02,78/120
1373,Mariage,971,4431,11,1768-10-19,88/157
1374,Mariage,972,4304,271,1661-10-08,n/a
1375,Mariage,972,7408,291,1686-07-01,n/a
1376,Mariage,973,6440,120,1856-07-30,23/161
1377,Mariage,974,3929,307,1777-01-14,226/349
1378,Mariage,975,7518,166,1661-02-08,18/022
1379,Mariage,976,5772,341,,28/033
1380,Mariage,977,7090,174,1737-02-26,12/163
1381,Mariage,978,8308,157,1830-02-10,2/115
1382,Mariage,980,6316,238,1658-05-12,81/166
1383,Mariage,981,5991,44,1786-07-04,9/066
1384,Mariage,982,4338,238,1725-02-12,196/235
1385,Mariage,983,8245,238,1721-02-03,93/235
1386,Mariage,984,3815,259,1684-05-18,74/303
1387,Mariage,979,8170,267,1663-01-07,n/a
1388,Mariage,987,6054,105,1840-07-28,214/363
1389,Mariage,986,6662,183,,n/a
1390,Mariage,985,7410,121,1809-05-17,114/134
1391,Mariage,988,7756,255,1882-02-07,125/135
1392,Mariage,989,8044,185,1889-06-03,32/094
1393,Mariage,990,6991,310,1693-01-27,n/a
1394,Mariage,991,6852,259,1899-05-30,65/070
1395,Mariage,994,6883,259,1902-10-13,14/018
1396,Mariage,992,1004,310,1893-11-20,9/101
1397,Mariage,993,4300,85,1850-02-06,97/110
1398,Mariage,993,5488,85,1834-07-15,350/411
1399,Mariage,993,7306,85,1827-02-19,15/411
1400,Mariage,996,5433,179,,125/319
1401,Mariage,997,5936,179,1698-01-27,109/114
1402,Mariage,995,6209,180,1765-05-07,134/303
1403,Mariage,997,8283,21,1877-02-04,3/043
1404,Mariage,1000,5072,179,1897-05-31,108/141
1405,Mariage,998,4525,244,1888-04-29,n/a
1406,Mariage,999,7167,310,1892-11-22,104/106
1407,Mariage,1001,5791,310,1779-09-06,170/338
1408,Mariage,1003,5633,255,1868-05-04,99/104
1409,Mariage,1002,7330,259,1882-07-25,138/142
1410,Mariage,1011,5192,310,1812-07-10,16/424
1411,Mariage,1009,5292,37,1831-01-25,58/414
1412,Mariage,1008,5495,310,1866-09-23,126/149
1413,Mariage,1012,6720,197,1763-02-01,18/156
1414,Mariage,1006,7143,310,1841-10-04,432/469
1415,Mariage,1005,7583,310,1666-02-02,15/028
1416,Mariage,1010,7639,85,1779-08-18,19/157
1417,Mariage,1007,8221,310,1774-11-22,107/338
1418,Mariage,1015,4535,310,1681-02-11,5/171
1419,Mariage,1014,4558,310,1751-02-01,166/222
1420,Mariage,1013,5247,310,1723-11-16,10/047
1421,Mariage,1016,7619,185,1829-03-01,252/341
1422,Mariage,1017,5419,310,1696-01-10,26/083
1423,Mariage,1020,5098,64,1864-06-29,n/a
1424,Mariage,1018,7331,259,1886-06-08,29/106
1425,Mariage,1019,4197,85,1870-05-17,17/094
1426,Mariage,1027,3680,234,1806-07-13,96/297
1427,Mariage,1026,3876,310,1822-08-11,207/350
1428,Mariage,1023,4342,310,1753-02-27,190/222
1429,Mariage,1023,4657,310,1747-01-30,120/222
1430,Mariage,1024,4738,310,1703-02-13,51/132
1431,Mariage,1027,5053,310,1726-01-22,38/047
1432,Mariage,1027,6250,137,1768-02-15,76/093
1433,Mariage,1022,6268,310,1788-01-15,305/338
1434,Mariage,1027,6559,137,,82/171
1435,Mariage,1025,6686,310,1670-01-28,n/a
1436,Mariage,1021,6766,310,1852-07-04,213/428
1437,Mariage,1027,7239,310,1765-09-24,13/017
1438,Mariage,1027,7861,179,1666-11-24,11/023
1439,Mariage,1037,1051,310,1715-09-16,12/060
1440,Mariage,1037,4148,53,1672-11-26,26
1441,Mariage,1037,4642,310,1669-02-10,18/046
1442,Mariage,1035,4994,135,1783-02-11,360/426
1443,Mariage,1033,5658,310,1673-11-21,64/076
1444,Mariage,1036,6226,310,1663-02-12,1/028
1445,Mariage,1032,6247,120,1779-02-03,74/198
1446,Mariage,1031,6499,108,1829-01-26,223/272
1447,Mariage,1037,6759,310,1709-11-12,31/061
1448,Mariage,1037,6774,197,1763-02-08,18/156
1449,Mariage,1034,6820,129,1759-07-24,66/073
1450,Mariage,1036,7285,310,1673-06-27,56/076
1451,Mariage,1037,7319,137,1773-07-08,20/185
1452,Mariage,1029,4797,85,1864-06-27,91/142
1453,Mariage,1030,7771,185,1842-08-21,306/353
1454,Mariage,1028,5246,259,1882-06-06,135/142
1455,Mariage,1038,3882,310,1873-05-11,46/051
1456,Mariage,1042,4909,137,1768-01-19,75/093
1457,Mariage,1041,6679,310,1734-02-09,108/144
1458,Mariage,1040,7549,310,1715-02-05,9/060
1459,Mariage,1039,5607,137,1822-02-07,128/267
1460,Mariage,1044,4425,310,1716-02-18,16/060
1461,Mariage,1043,7283,310,1668-07-24,4/046
1462,Mariage,1047,4424,310,1725-02-06,29/047
1463,Mariage,1046,4956,229,1769-01-10,86/138
1464,Mariage,1047,6683,234,1743-02-19,33/287
1465,Mariage,1045,8292,185,1846-07-12,80/341
1466,Mariage,1048,4330,229,1740-02-17,11/072
1467,Mariage,1050,4545,310,1767-02-24,24/338
1468,Mariage,1049,7129,229,1790-10-25,13/014
1469,Mariage,1052,5521,310,1877-08-28,47/110
1470,Mariage,1056,5363,234,1819-07-23,77/267
1471,Mariage,1054,5847,182,1699-11-03,123/452
1472,Mariage,1055,6688,310,1670-01-28,n/a
1473,Mariage,1056,7585,251,1751-01-11,3/156
1474,Mariage,1053,8220,310,1774-11-22,107/338
1475,Mariage,1057,7284,310,1673-06-27,56/076
1476,Mariage,1058,6094,310,1727-02-25,4/144
1477,Mariage,1059,5334,310,1723-11-16,12/047
1478,Mariage,1061,4919,310,1673-02-07,47/076
1479,Mariage,1060,7282,310,1667-09-13,23/028
1480,Mariage,1061,7317,310,1699-07-31,77/083
1481,Mariage,1071,3971,310,1845-01-19,317/394
1482,Mariage,1079,4343,137,1704-01-15,9/094
1483,Mariage,1074,4463,310,1813-05-13,80/424
1484,Mariage,1077,4952,269,1846-05-10,196/467
1485,Mariage,1075,5988,336,1734-06-22,127/129
1486,Mariage,1073,6219,179,,156/174
1487,Mariage,1070,6257,269,1818-04-27,350/390
1488,Mariage,1072,6461,310,1758-01-24,17/107
1489,Mariage,1079,6739,137,1777-04-29,51/185
1490,Publication de mariage,1076,7302,244,1849-06-03,127/365
1491,Mariage,1079,7318,137,1795-05-04,11/024
1492,Mariage,1079,7434,21,1898-06-13,113/126
1493,Mariage,1068,7675,310,1827-06-10,185/499
1494,Mariage,1067,7786,310,1809-12-14,263/273
1495,Mariage,1069,7899,281,1825-10-25,159/223
1496,Mariage,1078,7946,37,1852-06-01,224/342
1497,Publication de mariage,1079,8043,310,1847-01-24,211 et 212/403
1498,Mariage,1062,6341,259,1861-08-20,79/170
1499,Mariage,1062,6915,259,1888-09-25,53/106
1500,Mariage,1063,4827,269,1858-02-09,31/147
1501,Mariage,1064,7215,310,1880-11-16,77/110
1502,Mariage,1065,5692,269,1874-05-31,49/134
1503,Mariage,1066,6424,310,1775-02-21,112/338
1504,Mariage,1080,3761,180,1760-10-14,111/303
1505,Mariage,1081,4810,310,1780-01-25,178/338
1506,Mariage,1084,5466,234,1806-06-30,95/297
1507,Mariage,1082,5645,310,1809-01-05,228/273
1508,Mariage,1083,6874,135,1778-01-13,306/426
1509,Mariage,1085,4341,266,1892-10-03,7/011
1510,Mariage,1086,7849,251,1781-02-06,99/156
1511,Mariage,1087,6321,310,1707-03-01,120/132
1512,Mariage,1088,6567,336,1731-02-01,119/129
1513,Mariage,1089,5077,323,1759-09-05,n/a
1514,Mariage,1089,6776,137,1703-02-13,7/094
1515,Mariage,1090,4995,135,1783-02-11,360/426
1516,Mariage,1091,6777,137,1700-02-09,197/203
1517,Mariage,1092,6740,137,,88/171
1518,Mariage,1094,5637,255,1869-06-08,4/135
1519,Mariage,1093,7055,317,1893-05-15,143/186
1520,Mariage,1095,7621,137,1715-02-10,42/094
1521,Mariage,1096,7660,5,1885-01-28,23/155
1522,Mariage,1097,8329,51,1890-09-24,n/a
1523,Mariage,1098,7883,252,1752-02-09,92/095
1524,Mariage,1099,4670,311,1827-01-17,146/342
1525,Mariage,1100,7092,300,1813-10-08,n/a
1526,Mariage,1101,5779,252,1677-11-30,26/064
1527,Mariage,1102,6106,44,1677-05-12,n/a
1528,Mariage,1103,4042,182,1704-11-26,193/452
1529,Mariage,1105,5120,162,1727-02-09,25/101
1530,Mariage,1106,7949,162,1739-01-19,43/132
1531,Mariage,1109,4151,296,1735-02-18,n/a
1532,Mariage,1110,5649,205,1900-11-21,15/088
1533,Mariage,1107,6349,143,1900-02-05,5/121
1534,Mariage,1111,6630,261,1891-05-11,87/155
1535,Mariage,1112,5659,261,1853-11-08,380/504
1536,Mariage,1113,5793,192,1886-06-28,18/098
1537,Mariage,1114,3895,73,1882-11-21,55/080
1538,Mariage,1117,4998,343,1685-02-08,44/093
1539,Mariage,1116,5790,261,1849-11-20,55/504
1540,Mariage,1115,6078,261,1766-02-10,119/150
1541,Mariage,1119,6817,130,1863-11-23,78/125
1542,Mariage,1118,4817,130,1892-11-15,19/087
1543,Mariage,1120,7278,261,1742-10-17,56/130
1544,Mariage,1127,4706,261,1846-02-11,239/465
1545,Mariage,1128,6605,11,1767-11-09,82/157
1546,Mariage,1121,6038,261,1885-09-21,29/155
1547,Mariage,1122,6010,261,1875-05-25,73/158
1548,Mariage,1123,7134,261,1886-06-21,36/155
1549,Mariage,1124,5939,261,1845-05-20,179/465
1550,Mariage,1125,6020,261,1878-11-26,117/158
1551,Mariage,1126,6173,212,1873-05-12,100/166
1552,Mariage,1129,5088,120,1787-02-19,153/198
1553,Mariage,1130,8052,205,1864-01-27,169/339
1554,Mariage,1131,6725,205,1891-11-25,91/136
1555,Mariage,1137,6560,260,1831-01-25,102/223
1556,Mariage,1132,5831,162,1854-07-12,189/259
1557,Mariage,1133,6600,162,,191/238
1558,Mariage,1134,6899,162,1810-10-09,357/388
1559,Mariage,1135,8056,162,1835-10-13,96/461
1560,Mariage,1136,4556,261,1864-02-03,88/126
1561,Mariage,1136,8322,261,1888-11-26,59/155
1562,Mariage,1138,4559,50,1706-08-26,36/187
1563,Mariage,1139,2016,321,1642-11-24,19/019
1564,Mariage,1140,468,261,1763-04-20,100/150
1565,Mariage,1141,5171,107,,n/a
1566,Mariage,1142,4495,261,1708-02-07,30/030
1567,Mariage,1143,3671,162,1676-06-09,15/296
1568,Mariage,1143,4388,162,1677-09-06,64/296
1569,Mariage,1144,7267,212,1874-02-03,105/166
1570,Mariage,1108,4586,143,1906-05-15,n/a
1571,Mariage,1145,4660,276,1753-07-01,158/200
1572,Mariage,1146,5377,31,1788-01-30,57/095
1573,Mariage,1147,3884,64,1791-03-02,198/225
1574,Mariage,1149,5686,62,1795-01-20,24/080
1575,Mariage,1149,5789,120,1790-10-26,183/198
1576,Mariage,1148,6127,194,1740-06-20,34/085
1577,Mariage,1149,6869,20,1741-11-23,54/324
1578,Mariage,1151,6841,64,1777-09-10,12/211
1579,Mariage,1150,8090,232,1670-04-23,n/a
1580,Mariage,1152,7260,196,1671-05-12,5/109
1581,Mariage,1153,3672,166,1632-11-06,7/022
1582,Mariage,1153,7511,196,1678-02-15,93/109
1583,Mariage,1153,8291,196,1664-09-16,6/031
1584,Mariage,1154,6931,64,1776-02-13,5/022
1585,Mariage,1155,5707,64,1743-10-09,21/133
1586,Mariage,1156,4131,42,1669-08-27,92/113
1587,Mariage,1157,3854,42,1693-01-27,3/186
1588,Mariage,1157,7385,42,1729-08-02,146/298
1589,Mariage,1158,6044,42,1718-01-25,28/305
1590,Mariage,1158,6045,42,1732-11-03,289/298
1591,Mariage,1159,5159,42,1722-06-30,131/260
1592,Mariage,1159,6451,42,1720-10-08,66/260
1593,Mariage,1159,7209,42,1698-06-25,9/243
1594,Mariage,1159,7288,42,1771-11-26,20/148
1595,Mariage,1160,4751,42,1760-05-20,41/178
1596,Mariage,1160,5161,42,1762-02-09,99/178
1597,Mariage,1161,7606,31,1716-02-05,3/167
1598,Mariage,1162,6534,2,1830-06-15,300/359
1599,Mariage,1163,5293,47,1854-11-08,276/284
1600,Mariage,1164,5528,21,1871-09-06,121/159
1601,Mariage,1165,7613,28,1696-12-01,77/211
1602,Mariage,1167,6699,220,1877-09-12,46/082
1603,Mariage,1166,4919,160,1878-10-20,79/120
1604,Mariage,1168,7456,160,1900-11-06,8/010
1605,Mariage,1170,7467,138,1854-07-25,472/485
1606,Mariage,1169,6969,160,1895-10-29,120/159
1607,Mariage,1171,7172,162,1750-04-07,89/184
1608,Mariage,1173,3800,47,1706-02-10,8/125
1609,Contrat de mariage,1174,6181,162,1790-06-13,78 et 79/363
1610,Mariage,1174,6182,68,1790-06-30,12/068
1611,Mariage,1174,6370,31,1777-11-18,34/067
1612,Mariage,1174,7081,197,1729-07-05,31/056
1613,Mariage,1172,4634,138,1852-09-29,405/485
1614,Mariage,1175,4033,342,1872-04-30,24/098
1615,Mariage,1176,6006,237,1746-02-15,58/069
1616,Mariage,1177,4132,160,1899-01-17,150/159
1617,Mariage,1178,4645,237,1721-06-30,21/106
1618,Mariage,1178,5022,150,1847-05-18,136/269
1619,Mariage,1179,5391,197,1735-02-08,45/056
1620,Mariage,1180,7240,108,1643-02-17,38/069
1621,Mariage,1181,7138,168,1774-02-10,109/259
1622,Mariage,1182,6877,173,1688-02-26,73/073
1623,Mariage,1183,4518,243,,15/225
1624,Mariage,1184,4075,149,1681-02-11,4/028
1625,Mariage,1185,6276,164,1722-02-10,5/110
1626,Mariage,1186,7729,182,1895-11-12,123/158
1627,Mariage,1187,7049,270,1632-08-14,7/049
1628,Mariage,1188,5680,238,1662-01-17,100/166
1629,Mariage,1189,4874,238,1641-11-28,115/211
1630,Mariage,1189,6787,304,1741-07-05,122/236
1631,Mariage,1191,5577,238,1667-01-11,120/166
1632,Mariage,1190,5771,303,1653-07-20,16/018
1633,Mariage,1192,7245,238,1662-02-20,103/166
1634,Mariage,1193,7889,238,1656-11-15,60/166
1635,Mariage,1194,5123,2,1747-01-30,54/158
1636,Mariage,1194,6071,194,1654-01-26,3/042
1637,Mariage,1195,7128,238,1689-05-16,30/062
1638,Mariage,1195,7359,238,1671-01-26,149/166
1639,Mariage,1197,4121,148,1735-08-23,17/110
1640,Mariage,1197,4189,238,1679-08-03,145/174
1641,Mariage,1197,5090,346,1733-06-01,97/131
1642,Mariage,1197,5552,272,1781-07-10,14/177
1643,Mariage,1197,5788,148,1687-07-07,114/129
1644,Mariage,1197,6060,148,1758-02-06,105/116
1645,Mariage,1197,6087,275,1742-06-25,7/120
1646,Mariage,1197,6514,238,1676-06-25,52/174
1647,Mariage,1197,7071,78,1658-02-19,6/010
1648,Mariage,1197,7957,238,1708-09-17,21/175
1649,Mariage,1196,8139,216,1784-10-05,32/104
1650,Mariage,1198,7169,17,1869-09-20,154/159
1651,Mariage,1199,7919,17,1849-10-21,14/300
1652,Mariage,1201,5000,209,1743-08-19,n/a
1653,Mariage,1200,8156,240,1785-05-10,347/384
1654,Mariage,1204,6539,176,1775-10-30,74/140
1655,Mariage,1202,4183,174,1889-07-08,35/111
1656,Mariage,1203,4483,182,1894-01-08,108/158
1657,Mariage,1208,6553,230,1856-06-23,13/161
1658,Publication de mariage,1208,6553,230,1856-05-18,9/161
1659,Mariage,1209,5714,148,1741-11-28,88/110
1660,Mariage,1210,7440,148,1686-02-25,95/129
1661,Mariage,1213,6598,148,1679-09-26,10/129
1662,Mariage,1211,7195,86,1813-01-13,13/019
1663,Mariage,1212,5033,350,1780-02-07,71/111
1664,Mariage,1214,5845,25,1715-08-21,8/059
1665,Mariage,1215,7605,17,1885-12-21,13/099
1666,Mariage,1216,5519,10,1692-07-09,n/a
1667,Contrat de mariage,1217,8256,123,1611-12-21,244 et 245/491
1668,Mariage,1218,6389,303,1885-09-23,28/126
1669,Mariage,1219,8217,238,1655-04-11,43/166
1670,Mariage,1220,7911,238,1662-11-27,106/166
1671,Mariage,1221,5101,42,1676-07-21,27/184
1672,Mariage,1222,4153,238,1789-11-03,57/073
1673,Mariage,1223,6248,282,1820-01-12,145/268
1674,Mariage,1804,7800,315,1645-02-27,n/a
1675,Mariage,1225,8302,160,1900-10-15,7/010
1676,Publication de mariage,1228,4134,174,1843-07-16,35/079
1677,Mariage,1226,4192,179,1895-11-15,92/141
1678,Mariage,1227,5695,179,1905-08-16,6/009
1679,Mariage,1226,8072,262,1880-01-28,65/097
1680,Mariage,1229,5346,179,1881-04-25,97/109
1681,Mariage,1230,8288,312,1874-11-24,20/171
1682,Mariage,1231,4261,302,1897-11-08,22/096
1683,Mariage,1241,1,238,1631-10-13,14/211
1684,Mariage,1240,3737,174,1781-11-2?,8/009
1685,Mariage,1241,3982,241,1666-06-30,14/022
1686,Mariage,1234,4037,84,1782-05-23,n/a
1687,Mariage,1241,4062,372,1764-02-15,87/163
1688,Mariage,1241,4389,278,1702-10-30,21/230
1689,Mariage,1239,4439,182,1739-10-06,117/354
1690,Mariage,1238,4514,174,1756-07-07,113/163
1691,Mariage,1241,4791,195,1642-01-20,25/064
1692,Mariage,1233,4880,80,1716-02-20,226/393
1693,Mariage,1241,5335,182,1746-08-16,203/354
1694,Mariage,1237,5917,182,1772-11-26,82/210
1695,Mariage,1241,6049,372,1769-07-26,74/161
1696,Mariage,1236,6184,205,1726-06-07,245/326
1697,Mariage,1235,7185,39,1816-02-21,101/291
1698,Mariage,1241,7301,165,1730-01-18,99/242
1699,Mariage,1232,5761,162,1788-10-21,30/215
1700,Mariage,1244,3705,173,1659-08-13,15/029
1701,Mariage,1244,5260,155,1695-02-14,15/130
1702,Mariage,1244,5393,238,1688-07-20,14/062
1703,Mariage,1244,6908,238,1722-10-19,136/235
1704,Mariage,1244,7097,238,1711-01-26,100/175
1705,Mariage,1243,6231,236,1858-02-15,83/145
1706,Publication de mariage,1247,4639,182,1861-01-20,112/223
1707,Mariage,1245,4638,182,1861-02-04,100/223
1708,Mariage,1246,5476,238,1885-05-19,102/167
1709,Mariage,1253,6241,255,1870-02-22,13/135
1710,Mariage,1254,7063,158,1902-07-15,n/a
1711,Mariage,1248,7065,230,1894-04-17,65/102
1712,Mariage,1249,8038,261,1868-06-29,122/126
1713,Mariage,1250,6200,313,1890-02-04,74/146
1714,Mariage,1251,5598,226,1869-11-23,n/a
1715,Mariage,1252,6174,281,1891-04-21,133/165
1716,Publication de mariage,1255,3878,108,1851-05-18,206/405
1717,Mariage,1258,4914,108,1822-03-07,389/431
1718,Mariage,1257,6289,108,1836-08-08,43/413
1719,Mariage,1256,7133,179,1877-07-03,65/109
1720,Mariage,1260,4781,236,1850-11-12,55/145
1721,Mariage,1259,5106,52,1854-07-02,333/358
1722,Mariage,1261,6263,56,1872-01-15,148/156
1723,Mariage,1262,8071,217,1899-10-23,n/a
1724,Mariage,1263,5899,115,1788-02-04,n/a
1725,Mariage,1283,8331,51,1888-06-26,n/a
1726,Mariage,1280,1548,39,1846-05-12,55/365
1727,Mariage,1283,3718,205,1742-05-22,13/187
1728,Mariage,1283,3810,24,1757-01-18,32/112
1729,Mariage,1813,5957,312,1900-01-28,24/038
1730,Publication de mariage,1816,8037,302,1868-08-30,223/298
1731,Mariage,1817,5825,109,1697-11-28,48/098
1732,Mariage,1818,5457,238,1778-06-03,22/128
1733,Mariage,1819,6775,234,1786-10-03,62/090
1734,Mariage,1820,5402,123,1776-01-16,2/344
1735,Contrat de mariage,1821,4414,123,1653-03-29,167 et 168/411
1736,Mariage,1823,4238,355,1861-05-01,50/105
1737,Mariage,1822,7643,47,1901-06-17,17/047
1738,Mariage,1824,8233,47,1826-10-25,45/488
1739,Mariage,1825,4166,162,,220/238
1740,Mariage,1826,3916,56,1834-02-04,235/249
1741,Mariage,1827,7418,73,1843-01-18,30/176
1742,Mariage,1828,7927,56,1829-10-06,206/249
1743,Mariage,1829,4992,323,1798-06-16,28/051
1744,Mariage,1830,7577,64,1830-02-17,n/a
1745,Mariage,1831,4902,139,1873-07-30,31/105
1746,Mariage,1832,6120,144,1836-02-10,95/321
1747,Mariage,1833,6437,162,1817-06-25,235/393
1748,Mariage,1834,5257,238,1886-07-15,142/167
1749,Mariage,1835,7009,332,1736-07-10,157/179
1750,Mariage,1836,7499,148,1726-05-02,26/085
1751,Mariage,1837,7842,220,1703-08-08,n/a
1752,Mariage,1838,5682,263,,90/164
1753,Mariage,1838,7849,220,1704-09-18,n/a
1754,Mariage,1840,4563,263,1768-02-03,84/156
1755,Mariage,1839,5324,97,1764-02-07,8/024
1756,Mariage,1841,4246,253,1830-12-22,116/216
1757,Mariage,1843,4610,332,1782-02-05,70/094
1758,Mariage,1842,5330,138,1848-06-07,257/485
1759,Mariage,1844,4272,182,1721-07-10,354/452
1760,Mariage,1845,3814,27,1738-01-12,153/241
1761,Mariage,1846,4199,220,1780-05-09,106/169
1762,Mariage,1847,7216,339,1780-11-07,n/a
1763,Mariage,1848,6927,339,1775-02-22,n/a
1764,Mariage,1849,3887,86,1706-09-13,44/060
1765,Mariage,1850,6145,120,1701-06-30,41/303
1766,Mariage,1851,6822,63,1679-07-04,10/183
1767,Mariage,1852,5743,138,1817-06-25,258/347
1768,Mariage,1853,6472,238,1722-08-24,131/235
1769,Mariage,1854,5184,273,1739-07-29,13/106
1770,Mariage,1855,6634,321,1689-07-04,40/094
1771,Mariage,1856,4320,57,1785-01-31,423/464
1772,Mariage,1857,8112,44,1763-07-04,n/a
1773,Mariage,1858,5800,321,1692-02-11,52/094
1774,Mariage,1861,3681,57,1688-07-05,58/184
1775,Mariage,1860,4116,182,1809-01-17,177/317
1776,Publication de mariage,1860,4116,182,1808-12-25,172/317
1777,Mariage,1859,5851,57,1785-01-31,423/464
1778,Mariage,1862,7887,321,1634-07-06,10/019
1779,Mariage,1863,8266,299,1754-09-24,109/266
1780,Mariage,1864,4967,374,1698-07-14,78-79/192
1781,Contrat de mariage,1865,7910,123,1608-07-23,291 et 292/515
1782,Mariage,1868,6583,215,,27/037
1783,Mariage,1868,6583,215,,30/037
1784,Mariage,1866,6597,50,1883-06-19,2/006
1785,Mariage,1867,3906,71,1827-02-21,169/233
1786,Mariage,1869,3908,193,1896-10-20,86/109
1787,Mariage,1871,4072,374,1761-06-09,70/161
1788,Mariage,1873,5274,193,1872-11-06,134/202
1789,Mariage,1870,5883,374,1765-01-29,100/161
1790,Mariage,1873,5919,71,1822-02-08,47/233
1791,Mariage,1872,6140,89,1705-01-26,58/152
1792,Mariage,1873,7901,356,1822-02-04,n/a
1793,Mariage,1874,4159,193,1840-11-17,349/469
1794,Mariage,1874,6348,215,1819-01-12,50/331
1795,Mariage,1875,5217,265,1809-07-05,n/a
1796,Mariage,1881,3563,64,1782-02-11,119/211
1797,Mariage,1879,4505,336,1810-09-24,135/170
1798,Mariage,1882,4959,321,1733-02-11,195/320
1799,Mariage,1878,6782,7,1791-06-07,78/081
1800,Mariage,1880,7190,265,1787-04-24,9/020
1801,Mariage,1883,7558,118,1863-06-26,n/a
1802,Mariage,1883,7676,54,1791-11-23,277/279
1803,Mariage,1883,7785,71,1829-10-26,227/233
1804,Mariage,1883,8120,71,1844-09-15,117/345
1805,Mariage,1876,7797,118,1867-06-26,n/a
1806,Mariage,1877,8013,273,1857-01-13,30/197
1807,Mariage,1885,3783,326,1846-02-18,49/408
1808,Mariage,1884,5092,326,1875-06-22,128/175
